supplysector,GCAM_commodity,commodity_type_broad
FoodDemand_Staples,Corn,staples
FoodDemand_NonStaples,FiberCrop,nonstaples_other
FoodDemand_NonStaples,Fruits,nonstaples_other
FoodDemand_NonStaples,Legumes,nonstaples_other
FoodDemand_NonStaples,MiscCrop,nonstaples_other
FoodDemand_NonStaples,NutsSeeds,nonstaples_other
FoodDemand_NonStaples,OilCrop,nonstaples_other
FoodDemand_NonStaples,Soybean,nonstaples_other
FoodDemand_Staples,OtherGrain,staples
FoodDemand_NonStaples,OilPalm,nonstaples_other
FoodDemand_Staples,Rice,staples
FoodDemand_Staples,RootTuber,staples
FoodDemand_NonStaples,SugarCrop,nonstaples_other
FoodDemand_NonStaples,Vegetables,nonstaples_other
FoodDemand_Staples,Wheat,staples
FoodDemand_NonStaples,Beef,nonstaples_animal
FoodDemand_NonStaples,Dairy,nonstaples_animal
FoodDemand_NonStaples,Pork,nonstaples_animal
FoodDemand_NonStaples,Poultry,nonstaples_animal
FoodDemand_NonStaples,SheepGoat,nonstaples_animal
FoodDemand_NonStaples,OtherMeat_Fish,nonstaples_animal
,NEC,nonstaples_other
