sector,sector_agg
agricultural energy use,agricultural energy use
alumina,aluminum
aluminum,aluminum
cement,cement
chemical energy use,chemical
chemical feedstocks,chemical
construction energy use,construction
construction feedstocks,construction
food processing,food processing
iron and steel,iron and steel
mining energy use,mining energy use
N fertilizer,N fertilizer
other industrial energy use,other industry
other industrial feedstocks,other industry
paper,paper
process heat cement,cement
process heat food processing,food processing
process heat paper,paper
waste biomass for paper,paper
