Units,scenario,region,gcam-consumer,nodeinput,input,year,value
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,22.9467
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,34.2103
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,57.9168
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,75.6817
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,81.7832
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,94.8343
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,111.205
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,133.029
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,157.555
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,185.596
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,216.919
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,251.024
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,287.072
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,324.64
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,362.937
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,401.074
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,438.089
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,473.016
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,505.24
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,534.273
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,559.986
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,582.169
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,44.1407
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,67.2717
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,105.843
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,123.895
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,149.012
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2020,166.003
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2025,181.949
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2030,195.364
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2035,206.988
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2040,216.566
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2045,224.321
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2050,230.537
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2055,235.549
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2060,239.575
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2065,242.857
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2070,245.559
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2075,247.753
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2080,249.36
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2085,250.365
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2090,250.727
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2095,250.551
Pcal/yr,Reference,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2100,249.825
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,16.286
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,30.7199
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,51.3505
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,66.7648
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,80.7423
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2020,92.0543
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2025,103.126
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2030,116.014
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2035,128.158
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2040,139.678
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2045,150.438
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2050,160.178
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2055,168.905
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2060,176.621
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2065,183.273
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2070,188.667
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2075,192.851
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2080,196.054
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2085,198.439
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2090,200.164
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2095,201.219
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2100,201.685
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,54.5705
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,98.0733
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,128.911
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,132.977
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,138.846
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2020,146.316
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2025,152.946
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2030,158.272
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2035,162.984
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2040,167.143
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2045,170.667
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2050,173.323
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2055,175.11
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2060,176.04
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2065,176.233
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2070,175.717
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2075,174.599
Pcal/yr,Reference,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2080,173.08
