Units,scenario,region,sector,subsector,year,technology,value
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,1975,biomass,5.38411
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,1975,biomass cogen,9.93214
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,1990,biomass,5.46327
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,1990,biomass cogen,6.65842
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2005,biomass,5.78756
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2005,biomass cogen,7.31033
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2010,biomass,5.97452
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2010,biomass cogen,5.92323
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2015,biomass,6.00037
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2015,biomass cogen,5.77309
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2020,biomass,6.0739
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2020,biomass cogen,7.65143
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2025,biomass,5.64424
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2025,biomass cogen,7.36067
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2030,biomass,5.57219
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2030,biomass cogen,7.21911
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2035,biomass,5.54791
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2035,biomass cogen,7.14193
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2040,biomass,5.62302
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2040,biomass cogen,7.23424
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2045,biomass,5.71882
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2045,biomass cogen,7.37721
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2050,biomass,5.80065
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2050,biomass cogen,7.52392
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2055,biomass,5.87811
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2055,biomass cogen,7.6813
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2060,biomass,5.92792
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2060,biomass cogen,7.79855
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2065,biomass,5.96728
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2065,biomass cogen,7.89218
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2070,biomass,5.98815
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2070,biomass cogen,7.968
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2075,biomass,5.99788
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2075,biomass cogen,8.0285
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2080,biomass,5.99926
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2080,biomass cogen,8.07688
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2085,biomass,5.99416
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2085,biomass cogen,8.12277
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2090,biomass,5.98568
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2090,biomass cogen,8.15795
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2095,biomass,5.97716
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2095,biomass cogen,8.18716
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2100,biomass,5.96392
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,2100,biomass cogen,8.20647
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,1975,coal,3.37502
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,1975,coal cogen,7.36382
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,1990,coal,3.57068
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,1990,coal cogen,3.75014
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2005,coal,3.50071
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2005,coal cogen,3.93133
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2010,coal,3.66795
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2010,coal cogen,2.28865
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2015,coal,3.73922
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2015,coal cogen,2.17365
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2020,coal,3.78169
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2020,coal cogen,4.27991
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2025,coal,3.80719
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2025,coal cogen,4.60807
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2030,coal,3.83985
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2030,coal cogen,4.59444
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2035,coal,3.85687
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2035,coal cogen,4.56403
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2040,coal,3.86409
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2040,coal cogen,4.56992
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2045,coal,3.87275
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2045,coal cogen,4.60565
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2050,coal,3.87822
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2050,coal cogen,4.66184
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2055,coal,3.8855
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2055,coal cogen,4.73907
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2060,coal,3.8941
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2060,coal cogen,4.8124
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2065,coal,3.90446
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2065,coal cogen,4.87623
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2070,coal,3.91276
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2070,coal cogen,4.9439
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2075,coal,3.91611
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2075,coal cogen,5.00362
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2080,coal,3.91205
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2080,coal cogen,5.05176
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2085,coal,3.90769
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2085,coal cogen,5.10608
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2090,coal,3.90391
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2090,coal cogen,5.15382
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2095,coal,3.90206
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2095,coal cogen,5.19734
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2100,coal,3.90114
1975$/GJ,Reference,Africa_Eastern,process heat food processing,coal,2100,coal cogen,5.23763
1975$/GJ,Reference,Africa_Eastern,process heat food processing,electricity,1975,electric heat pump,3.5049
1975$/GJ,Reference,Africa_Eastern,process heat food processing,electricity,1975,electricity,2.55533
1975$/GJ,Reference,Africa_Eastern,process heat food processing,electricity,1975,electricity with solar,2.60459
1975$/GJ,Reference,Africa_Eastern,process heat food processing,electricity,1990,electric heat pump,8.49306
1975$/GJ,Reference,Africa_Eastern,process heat food processing,electricity,1990,electricity,13.6401
1975$/GJ,Reference,Africa_Eastern,process heat food processing,electricity,1990,electricity with solar,11.4724
1975$/GJ,Reference,Africa_Eastern,process heat food processing,electricity,2005,electric heat pump,8.26481
1975$/GJ,Reference,Africa_Eastern,process heat food processing,electricity,2005,electricity,13.1329
1975$/GJ,Reference,Africa_Eastern,process heat food processing,electricity,2005,electricity with solar,11.0667
1975$/GJ,Reference,Africa_Eastern,process heat food processing,electricity,2010,electric heat pump,10.6733
1975$/GJ,Reference,Africa_Eastern,process heat food processing,electricity,2010,electricity,18.4852
1975$/GJ,Reference,Africa_Eastern,process heat food processing,electricity,2010,electricity with solar,15.3485
1975$/GJ,Reference,Africa_Eastern,process heat food processing,electricity,2015,electric heat pump,11.3709
