Units,scenario,region,sector,subsector,technology,input,year,value
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,1975,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,1990,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2005,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2010,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2015,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2020,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2025,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2030,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2035,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2040,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2045,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2050,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2055,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2060,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2065,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2070,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2075,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2080,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2085,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2090,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2095,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass,non-energy,2100,2.7
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,1975,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,1990,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2005,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2010,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2015,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2020,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2025,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2030,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2035,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2040,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2045,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2050,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2055,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2060,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2065,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2070,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2075,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2080,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2085,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2090,6.88
1975$/GJ,Reference,Africa_Eastern,process heat food processing,biomass,biomass cogen,non-energy,2095,6.88
